Step,Action,Reward,Q[action],Average action reward,Average general reward
262,0,3.6756,2.2333,2.2333,1.8591
263,0,2.2267,2.2333,2.2333,1.8605
264,0,3.2809,2.2381,2.2381,1.8658
265,0,2.1427,2.2376,2.2376,1.8669
266,0,1.0622,2.2323,2.2323,1.8638
267,0,4.3135,2.2417,2.2417,1.8730
268,0,1.6886,2.2392,2.2392,1.8723
269,0,1.8000,2.2372,2.2372,1.8720
270,0,1.3140,2.2331,2.2331,1.8700
271,2,2.4458,2.0426,2.0426,1.8721
272,0,2.8496,2.2359,2.2359,1.8757
273,0,1.9472,2.2346,2.2346,1.8759
274,0,2.0661,2.2339,2.2339,1.8766
275,0,2.5241,2.2351,2.2351,1.8790
276,0,2.3029,2.2354,2.2354,1.8805
277,0,1.2130,2.2310,2.2310,1.8781
278,0,0.1631,2.2221,2.2221,1.8719
279,6,3.3764,1.7684,1.7684,1.8773
280,0,1.8888,2.2207,2.2207,1.8774
281,0,1.7121,2.2185,2.2185,1.8768
282,0,1.2554,2.2144,2.2144,1.8746
283,0,2.6750,2.2163,2.2163,1.8774
284,8,-1.2453,-0.8766,-0.8766,1.8664
285,0,3.9372,2.2236,2.2236,1.8737
286,0,1.9679,2.2225,2.2225,1.8740
287,0,2.8768,2.2253,2.2253,1.8775
288,0,1.2342,2.2211,2.2211,1.8753
289,8,0.7590,-0.6721,-0.6721,1.8714
290,0,3.6058,2.2269,2.2269,1.8774
291,0,1.9990,2.2259,2.2259,1.8778
292,9,1.6243,-0.3356,-0.3356,1.8769
293,0,2.5541,2.2273,2.2273,1.8792
294,0,3.2512,2.2315,2.2315,1.8839
295,0,1.5749,2.2288,2.2288,1.8828
296,0,2.4321,2.2296,2.2296,1.8847
297,0,3.0370,2.2329,2.2329,1.8886
298,0,1.1708,2.2286,2.2286,1.8862
299,0,1.3360,2.2250,2.2250,1.8843
300,0,3.2909,2.2293,2.2293,1.8890
301,0,2.7637,2.2314,2.2314,1.8919
302,0,1.6614,2.2292,2.2292,1.8911
303,0,2.4113,2.2299,2.2299,1.8928
304,0,3.1569,2.2335,2.2335,1.8970
305,0,2.8774,2.2361,2.2361,1.9002
306,0,3.4212,2.2407,2.2407,1.9051
307,8,-0.2976,-0.6305,-0.6305,1.8980
308,5,-0.8503,-0.0196,-0.0196,1.8891
309,0,2.2118,2.2406,2.2406,1.8901
310,0,3.2740,2.2446,2.2446,1.8946
311,0,1.5592,2.2419,2.2419,1.8935
312,0,1.6205,2.2395,2.2395,1.8926
313,0,1.5364,2.2368,2.2368,1.8915
314,0,2.2955,2.2371,2.2371,1.8928
315,0,2.6347,2.2386,2.2386,1.8951
316,0,2.6438,2.2401,2.2401,1.8975
317,0,2.3260,2.2404,2.2404,1.8988
318,1,-1.3500,-0.6311,-0.6311,1.8887
319,0,2.3043,2.2407,2.2407,1.8900
320,0,2.4269,2.2414,2.2414,1.8916
321,0,2.3814,2.2419,2.2419,1.8932
322,9,-2.4792,-0.5305,-0.5305,1.8796
323,0,4.1848,2.2491,2.2491,1.8867
324,0,3.1582,2.2525,2.2525,1.8906
325,0,3.5765,2.2574,2.2574,1.8958
326,1,-1.6945,-0.7830,-0.7830,1.8848
327,0,2.4467,2.2581,2.2581,1.8865
328,0,1.7307,2.2561,2.2561,1.8861
329,0,2.3204,2.2564,2.2564,1.8874
330,0,2.6322,2.2577,2.2577,1.8896
331,0,1.1804,2.2538,2.2538,1.8875
332,0,3.0892,2.2569,2.2569,1.8911
333,0,1.9216,2.2556,2.2556,1.8912
334,0,3.2217,2.2591,2.2591,1.8952
335,0,2.8448,2.2612,2.2612,1.8980
336,0,0.5497,2.2551,2.2551,1.8940
337,6,0.9612,1.6069,1.6069,1.8912
338,0,1.6437,2.2529,2.2529,1.8905
339,0,2.0805,2.2523,2.2523,1.8911
340,0,2.3753,2.2528,2.2528,1.8925
341,7,2.2283,0.6230,0.6230,1.8935
342,2,0.8717,1.8962,1.8962,1.8905
343,0,1.8246,2.2513,2.2513,1.8903
344,3,0.0737,0.4398,0.4398,1.8850
345,0,3.1384,2.2544,2.2544,1.8887
346,0,1.8171,2.2528,2.2528,1.8885
347,0,2.9063,2.2551,2.2551,1.8914
348,5,-0.0614,-0.0248,-0.0248,1.8858
349,0,2.0216,2.2543,2.2543,1.8862
350,0,1.6843,2.2523,2.2523,1.8856
351,0,2.2540,2.2523,2.2523,1.8866
352,0,2.4493,2.2530,2.2530,1.8882
353,0,0.7832,2.2480,2.2480,1.8851
354,0,1.8657,2.2467,2.2467,1.8851
355,0,1.6071,2.2445,2.2445,1.8843
356,0,4.2073,2.2512,2.2512,1.8908
357,0,0.7867,2.2462,2.2462,1.8877
358,0,1.1722,2.2426,2.2426,1.8857
359,0,2.3692,2.2431,2.2431,1.8870
360,0,2.4896,2.2439,2.2439,1.8887
361,0,2.1352,2.2435,2.2435,1.8894
362,0,0.0421,2.2362,2.2362,1.8843
363,0,2.5513,2.2373,2.2373,1.8861
364,0,1.7039,2.2355,2.2355,1.8856
365,0,3.0510,2.2382,2.2382,1.8888
366,0,2.6961,2.2397,2.2397,1.8910
367,7,0.8866,0.6757,0.6757,1.8883
368,0,2.9698,2.2421,2.2421,1.8912
369,0,2.2005,2.2419,2.2419,1.8921
370,0,3.3676,2.2456,2.2456,1.8960
371,0,1.6832,2.2438,2.2438,1.8955
